clone_pair,start_commit,end_commit,genealogy
src/com/itmill/toolkit/terminal/gwt/client/ui/ITablePaging.java^91^106+src/com/itmill/toolkit/terminal/gwt/client/ui/ITableScrollingByComposition.java^99^113,26b5f9c,d85eed4,"I,A,99b84bc,5-I,A,4b6bf30,4-I,A,642dcb2,14-I,A,72f77c2,2-I,A,f2e3722,30"
src/com/itmill/toolkit/terminal/gwt/client/ui/ITablePaging.java^95^110+src/com/itmill/toolkit/terminal/gwt/client/ui/ITableScrollingByComposition.java^99^113,e755228,d85eed4,"I,A,4b6bf30,4-I,A,642dcb2,6-I,A,f2e3722,13"
src/com/itmill/toolkit/terminal/gwt/client/ui/ITablePaging.java^114^126+src/com/itmill/toolkit/terminal/gwt/client/ui/scrolltable/IScrollTable.java^97^109,34892c9,d85eed4,"I,A,4b6bf30,4-I,A,642dcb2,5-I,A,f2e3722,10"
src/com/itmill/toolkit/terminal/gwt/client/ui/ITableScrollingByRecyclingOldDomImplementation.java^139^164+src/com/itmill/toolkit/terminal/gwt/client/ui/scrolltable/IScrollTable.java^82^112,34892c9,b36dc81,"I,B,67254b1,1"
src/com/itmill/toolkit/terminal/gwt/client/ui/ITableScrollingByRecyclingOldDomImplementation.java^191^202+src/com/itmill/toolkit/terminal/gwt/client/ui/scrolltable/IScrollTable.java^140^151,34892c9,b36dc81,"I,B,16f21b3,2-I,B,b34597f,5-I,B,67254b1,2-I,B,06f57f4,23"
src/com/itmill/toolkit/terminal/gwt/client/ui/ITableScrollingByRecyclingOldDomImplementation.java^400^433+src/com/itmill/toolkit/terminal/gwt/client/ui/scrolltable/IScrollTable.java^226^259,34892c9,b36dc81,"I,B,611a97c,3"
src/com/itmill/toolkit/terminal/gwt/client/ui/ITablePaging.java^116^126+src/com/itmill/toolkit/terminal/gwt/client/ui/scrolltable/IScrollTable.java^112^122,67254b1,d85eed4,"I,A,4b6bf30,4-I,A,642dcb2,4-I,A,f2e3722,8"
src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^46^65+src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^67^86,28ca6dc,d85eed4,"C,AB,5ba2873,30-I,AB,f2e3722,44"
src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^88^102+src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^104^118,28ca6dc,d85eed4,"C,AB,5ba2873,20-I,AB,f2e3722,34"
src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^51^57+src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^72^78,28ca6dc,2b0eff0,"C,AB,5ba2873,14"
src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^51^57+src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^93^99,28ca6dc,2b0eff0,"C,AB,5ba2873,14"
src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^51^57+src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^109^115,28ca6dc,2b0eff0,"C,AB,5ba2873,14"
src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^72^78+src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^93^99,28ca6dc,2b0eff0,"C,AB,5ba2873,14"
src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^72^78+src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^109^115,28ca6dc,2b0eff0,"C,AB,5ba2873,14"
src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^93^99+src/com/itmill/toolkit/terminal/gwt/client/LocaleService.java^109^115,28ca6dc,2b0eff0,"C,AB,5ba2873,14"
src/com/itmill/toolkit/terminal/gwt/client/ui/ITablePaging.java^98^126+src/com/itmill/toolkit/terminal/gwt/client/ui/scrolltable/IScrollTable.java^118^146,8b43b08,d85eed4,"I,A,99b84bc,5-I,A,4b6bf30,4-I,A,642dcb2,13-I,A,72f77c2,2-I,A,f2e3722,28"
src/com/itmill/toolkit/terminal/gwt/client/ui/IScrollTable.java^117^145+src/com/itmill/toolkit/terminal/gwt/client/ui/ITablePaging.java^98^126,102cda5,957bb1a,"I,B,99b84bc,5-I,AB,4b6bf30,12-I,A,ea62c59,1-I,A,7ff54c3,15-I,B,642dcb2,13-I,AB,72f77c2,4-I,A,b22d6f6,34"
src/com/itmill/toolkit/terminal/gwt/client/ui/IScrollTable.java^149^161+src/com/itmill/toolkit/terminal/gwt/client/ui/ITablePaging.java^118^130,99b84bc,957bb1a,"I,AB,4b6bf30,8-I,A,ea62c59,1-I,A,7ff54c3,4-I,B,642dcb2,4-I,A,b22d6f6,10"
src/com/itmill/toolkit/terminal/gwt/server/ApplicationManager.java^557^584+src/com/itmill/toolkit/terminal/gwt/server/ApplicationServlet.java^1158^1184,511a2b9,1dce474,"C,B,dbea045,1-I,B,5c0d7fa,26-I,B,5ba2873,21-I,B,19d4238,15"
src/com/itmill/toolkit/terminal/gwt/server/ApplicationManager.java^608^630+src/com/itmill/toolkit/terminal/gwt/server/ApplicationServlet.java^601^623,511a2b9,1dce474,"I,B,5c0d7fa,17-I,B,749b99f,1-I,B,5ba2873,5-I,B,b6e7385,2-I,B,4d2adce,1-I,B,19d4238,12"
src/com/itmill/toolkit/terminal/gwt/server/ApplicationManager.java^648^704+src/com/itmill/toolkit/terminal/gwt/server/ApplicationServlet.java^641^697,511a2b9,1dce474,"I,B,5c0d7fa,52-I,B,5ba2873,58-I,B,09d0f50,1-I,B,ec82644,1-I,B,00f16f7,2-I,B,625a7c5,4-I,B,19c291b,3-I,B,ba505ca,9-I,B,741346c,1-I,B,19d4238,46"
src/com/itmill/toolkit/terminal/gwt/server/ApplicationServlet.java^498^520+src/com/itmill/toolkit/terminal/gwt/server/CommunicationManager.java^646^668,9f42a27,1dce474,"I,A,5c0d7fa,17-I,A,749b99f,1-I,A,5ba2873,5-I,A,b6e7385,2-I,A,4d2adce,1-I,A,19d4238,12"
src/com/itmill/toolkit/terminal/gwt/server/ApplicationServlet.java^538^594+src/com/itmill/toolkit/terminal/gwt/server/CommunicationManager.java^686^742,9f42a27,1dce474,"I,A,5c0d7fa,52-I,A,5ba2873,58-I,A,09d0f50,1-I,A,ec82644,1-I,A,00f16f7,2-I,A,625a7c5,4-I,A,19c291b,3-I,A,ba505ca,9-I,A,741346c,1-I,A,19d4238,46"
src/com/itmill/toolkit/terminal/gwt/server/ApplicationServlet.java^1023^1050+src/com/itmill/toolkit/terminal/gwt/server/CommunicationManager.java^594^622,9f42a27,1dce474,"I,A,5c0d7fa,27-I,B,749b99f,1-I,A,5ba2873,22-I,A,19d4238,16"
src/com/itmill/toolkit/terminal/gwt/client/ui/ISlider.java^253^271+src/com/itmill/toolkit/terminal/gwt/client/ui/ISlider.java^271^289,29870ae,8cd8853,"C,AB,f9a8f0a,17-I,AB,f1d379b,37"
src/com/itmill/toolkit/tests/TestForChildComponentRendering.java^34^60+src/com/itmill/toolkit/tests/TestForGridLayoutChildComponentRendering.java^34^64,7b7b8de,d85eed4,"C,AB,5ba2873,11-C,AB,f2e3722,58"
src/com/itmill/toolkit/terminal/gwt/client/ui/IScrollTable.java^1607^1618+src/com/itmill/toolkit/terminal/gwt/client/ui/ITree.java^141^152,857f5a3,957bb1a,"C,A,7ff54c3,2-C,AB,02202ab,9-C,B,31d2e72,2-I,A,b22d6f6,14"
src/com/itmill/toolkit/ui/Button.java^192^202+src/com/itmill/toolkit/ui/Tree.java^464^473,857f5a3,cd31e3f,"I,A,6fe8bfa,11"
src/com/itmill/toolkit/terminal/gwt/server/ApplicationServlet.java^968^989+src/com/itmill/toolkit/terminal/gwt/server/CommunicationManager.java^595^617,68a36c4,1dce474,"I,A,5c0d7fa,21-I,A,5ba2873,16-I,A,19d4238,10"
src/com/itmill/toolkit/demo/FilterSelect.java^119^139+src/com/itmill/toolkit/ui/select/ContainsFilter.java^21^40,815d49e,1217916,"I,B,b1bf4c9,20"
src/com/itmill/toolkit/demo/FilterSelect.java^119^139+src/com/itmill/toolkit/ui/select/StartsWithFilter.java^26^46,815d49e,4bd46ec,"C,B,5ba2873,2"
src/com/itmill/toolkit/ui/select/ContainsFilter.java^21^40+src/com/itmill/toolkit/ui/select/StartsWithFilter.java^26^46,815d49e,1217916,"C,A,b1bf4c9,20"
src/com/itmill/toolkit/ui/Select.java^309^326+src/com/itmill/toolkit/ui/Select.java^341^359,815d49e,4d2adce,"I,AB,4bd46ec,20-I,AB,0f494df,61"
src/com/itmill/toolkit/demo/FilterSelect.java^119^139+src/com/itmill/toolkit/ui/select/ContainsFilter.java^26^46,b1bf4c9,4bd46ec,"C,B,5ba2873,2"
src/com/itmill/toolkit/ui/select/ContainsFilter.java^26^46+src/com/itmill/toolkit/ui/select/StartsWithFilter.java^26^46,b1bf4c9,4bd46ec,"C,AB,5ba2873,4"
src/com/itmill/toolkit/ui/select/ContainsFilter.java^21^65+src/com/itmill/toolkit/ui/select/StartsWithFilter.java^21^65,1217916,4bd46ec,"C,AB,5ba2873,18"
src/com/itmill/toolkit/terminal/gwt/client/Caption.java^31^50+src/com/itmill/toolkit/terminal/gwt/client/ui/IButton.java^54^72,27171f1,f42e89f,"C,AB,5ba2873,20-I,B,8089fe3,18"
src/com/itmill/toolkit/terminal/gwt/server/ApplicationServlet.java^514^536+src/com/itmill/toolkit/terminal/gwt/server/CommunicationManager.java^651^673,5c0d7fa,2b0eff0,"C,A,5ba2873,21"
src/com/itmill/toolkit/terminal/gwt/server/ApplicationServlet.java^554^610+src/com/itmill/toolkit/terminal/gwt/server/CommunicationManager.java^691^747,5c0d7fa,1dce474,"I,A,5ba2873,50-I,A,b6e7385,2-I,A,19d4238,22"
src/com/itmill/toolkit/terminal/gwt/server/ApplicationServlet.java^994^1015+src/com/itmill/toolkit/terminal/gwt/server/CommunicationManager.java^605^627,5c0d7fa,2b0eff0,"I,A,5ba2873,22"
src/com/itmill/toolkit/demo/features/FeatureTree.java^82^102+src/com/itmill/toolkit/tests/TestForTrees.java^99^118,c7f0b79,d85eed4,"I,B,f2e3722,20"
src/com/itmill/toolkit/terminal/gwt/client/ui/Time.java^87^119+src/com/itmill/toolkit/terminal/gwt/client/ui/Time.java^150^173,4266bcc,d85eed4,"I,AB,5ba2873,35-I,AB,f2e3722,58"
src/com/itmill/toolkit/demo/features/FeatureUpload.java^99^119+src/com/itmill/toolkit/tests/TestForUpload.java^115^135,749b99f,d85eed4,"I,B,141f878,1-I,B,c45f058,15-I,B,f2e3722,21"
src/com/itmill/toolkit/demo/features/FeatureUpload.java^101^119+src/com/itmill/toolkit/tests/TestForUpload.java^169^187,141f878,d85eed4,"I,B,c45f058,13-I,B,f2e3722,18"
src/com/itmill/toolkit/tests/BasicRandomTest.java^381^398+src/com/itmill/toolkit/tests/RandomLayoutStress.java^96^113,dc08d70,d85eed4,"I,AB,f2e3722,36"
src/com/itmill/toolkit/terminal/gwt/client/ui/IExpandLayout.java^50^66+src/com/itmill/toolkit/terminal/gwt/client/ui/IOrderedLayout.java^79^130,31d2e72,f660be5,"C,B,5ba2873,16-I,B,6b6257f,54"
src/com/itmill/toolkit/terminal/gwt/client/ui/IExpandLayout.java^61^97+src/com/itmill/toolkit/terminal/gwt/client/ui/IOrderedLayout.java^90^125,31d2e72,f660be5,"C,B,5ba2873,9-C,B,6b6257f,38"
src/com/itmill/toolkit/terminal/gwt/server/ApplicationServlet.java^560^616+src/com/itmill/toolkit/terminal/gwt/server/CommunicationManager.java^803^859,5ba2873,1dce474,"I,A,19d4238,57"
src/com/itmill/toolkit/terminal/gwt/server/ApplicationServlet.java^1000^1021+src/com/itmill/toolkit/terminal/gwt/server/CommunicationManager.java^717^739,5ba2873,1dce474,"I,A,19d4238,22"
src/com/itmill/toolkit/terminal/gwt/client/ui/Time.java^92^126+src/com/itmill/toolkit/terminal/gwt/client/ui/Time.java^163^187,5ba2873,d85eed4,"I,AB,f2e3722,60"
