clone_pair,start_commit,end_commit,genealogy
src/main/java/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java^784^827+src/main/java/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java^841^882,f1efb27,ef58cc5,"C,AB,89a51ba,12-C,AB,1bd3055,12-C,AB,0f58857,12-C,AB,4c078ba,2-I,AB,af09534,4-I,AB,b02dba9,76"
src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/ParameterAssignmentCheck.java^90^114+src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/ParameterAssignmentCheck.java^123^145,f1efb27,2439710,"C,AB,bb1b298,6-C,AB,b2eeea9,42-C,AB,0f58857,4"
src/main/java/com/puppycrawl/tools/checkstyle/checks/CheckUtils.java^254^270+src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/MultipleVariableDeclarationsCheck.java^108^124,f1efb27,2439710,"I,B,bb1b298,3-C,A,58219b9,3-I,AB,1bd3055,6-I,AB,0f58857,8-I,B,c9b404f,9"
src/main/java/com/puppycrawl/tools/checkstyle/ConfigurationLoader.java^307^338+src/main/java/com/puppycrawl/tools/checkstyle/filters/SuppressionsLoader.java^144^175,f1efb27,d58e289,"C,B,5cfe30d,6-I,A,b8ca6a5,6-I,AB,fca6580,54-I,A,71c16c5,6-I,B,e794bd0,1-I,B,111bd4b,4-I,AB,4fd298b,2-I,B,57b9081,2-I,A,8c3e4a5,2-I,AB,526c9d0,46"
src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/ModifiedControlVariableCheck.java^90^112+src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/ParameterAssignmentCheck.java^96^120,f1efb27,2439710,"C,AB,bb1b298,5-C,AB,b2eeea9,44-I,A,5026b72,1-I,A,ee1b845,1-I,A,dbac7fb,1"
src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/ModifiedControlVariableCheck.java^129^152+src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/ParameterAssignmentCheck.java^128^151,f1efb27,2439710,"C,AB,bb1b298,2-C,AB,b2eeea9,44-I,A,5026b72,2-I,A,ee1b845,1-I,A,dbac7fb,1"
src/test/resources/com/puppycrawl/tools/checkstyle/indentation/InputInvalidForIndent.java^22^79+src/test/resources/com/puppycrawl/tools/checkstyle/indentation/InputValidForIndent.java^27^75,f1efb27,2073e48,"I,AB,ac8eade,107"
src/test/java/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^37^50+src/test/java/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^77^91,f1efb27,2439710,"C,AB,aeb68b7,6-C,AB,e2f2652,18-C,B,75da2ef,1-C,AB,3a2cb4d,9-I,AB,c998a06,4-I,AB,cb81e42,6"
src/test/resources/com/puppycrawl/tools/checkstyle/indentation/InputInvalidWhileIndent.java^20^55+src/test/resources/com/puppycrawl/tools/checkstyle/indentation/InputValidWhileIndent.java^26^62,f1efb27,2073e48,"I,AB,ac8eade,73"
src/main/java/com/puppycrawl/tools/checkstyle/gui/AbstractTreeTableModel.java^131^147+src/main/java/com/puppycrawl/tools/checkstyle/gui/AbstractTreeTableModel.java^159^175,f1efb27,af4ecbf,"C,AB,eddd0de,2-C,AB,c0446a8,2-C,AB,0f58857,4-C,AB,5f5142b,8"
